2026-09-12 14:00:17] [Notice]   Loading external interface "MeshCore_Dynamic_Interface.py" from "/home/afi/.reticulum/interfaces"
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=60s -- TX: 946B total, 41bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 8
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=3): avg=6936ms min=18ms max=14176ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: not yet available
[2026-09-12 14:01:18] [Info]     [PERF 6] OUT size=202 ptype=1 broadcast=True
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:18] [Info]     [PERF 6] QUEUE(channel) priority=1 depth=7
[2026-09-12 14:01:18] [Info]     [PERF 6] QUEUE(channel) priority=1 depth=8
[2026-09-12 14:01:18] [Info]     [PERF 6] QUEUE(channel) priority=1 depth=9
[2026-09-12 14:01:18] [Info]     [PERF 3] DEQUEUE(channel) priority=1 queue_wait=11.189s depth=8
[2026-09-12 14:01:21] [Info]     [PERF 3] DEQUEUE(channel) priority=1 queue_wait=13.714s depth=7
[2026-09-12 14:01:23] [Info]     [PERF 4] DEQUEUE(channel) priority=1 queue_wait=16.232s depth=6
[2026-09-12 14:01:26] [Info]     [PERF 4] DEQUEUE(channel) priority=1 queue_wait=18.755s depth=5
[2026-09-12 14:01:27] [Info]     [PERF 7] OUT size=202 ptype=1 broadcast=True
[2026-09-12 14:01:27] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:27] [Info]     [PERF 7] QUEUE(channel) priority=1 depth=6
[2026-09-12 14:01:27] [Info]     [PERF 7] QUEUE(channel) priority=1 depth=7
[2026-09-12 14:01:27] [Info]     [PERF 7] QUEUE(channel) priority=1 depth=8
[2026-09-12 14:01:28] [Info]     [PERF 4] DEQUEUE(channel) priority=1 queue_wait=21.280s depth=7
[2026-09-12 14:01:31] [Info]     [PERF 5] DEQUEUE(channel) priority=1 queue_wait=14.551s depth=6
[2026-09-12 14:01:33] [Info]     [PERF 6] DEQUEUE(channel) priority=1 queue_wait=15.289s depth=5
[2026-09-12 14:01:36] [Info]     [PERF 6] DEQUEUE(channel) priority=1 queue_wait=17.813s depth=4
[2026-09-12 14:01:38] [Info]     [PERF 6] DEQUEUE(channel) priority=1 queue_wait=20.339s depth=3
[2026-09-12 14:01:41] [Info]     [PERF 7] DEQUEUE(channel) priority=1 queue_wait=13.834s depth=2
[2026-09-12 14:01:43] [Info]     [PERF 7] DEQUEUE(channel) priority=1 queue_wait=16.360s depth=1
[2026-09-12 14:01:46] [Info]     [PERF 7] DEQUEUE(channel) priority=1 queue_wait=18.887s depth=0
[2026-09-12 14:02:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=120s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 12
[2026-09-12 14:02:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:02:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:02:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=13.3% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:03:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=180s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:03:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:03:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:03:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:04:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=240s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:04:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:04:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:04:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-117dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
